time (sec),vo2 (mL/kg/min)
382.02,29.22
385.68,38.36
387.13,35.02
389.16,35.35
389.83,38.34
390.22,31.56
391.59,26.86
393.43,25.67
394.75,34.41
395.99,26.07
400.3,29.74
401.18,33.08
401.79,32.86
402.77,35.09
405.06,27.29
406.0,31.14
407.36,30.47
409.94,31.4
410.84,36.39
411.47,36.36
412.76,35.58
415.27,32.04
417.56,32.61
419.2,39.57
421.26,30.62
423.21,35.79
424.39,33.05
425.23,38.13
426.52,38.65
427.97,38.78
430.76,39.23
433.22,33.27
435.27,29.33
435.94,23.22
437.19,31.41
438.75,35.96
439.54,33.44
440.67,35.09
442.04,38.47
443.72,35.35
444.89,33.27
446.26,33.32
447.45,38.94
448.39,30.62
449.1,31.73
449.75,36.8
450.71,41.22
453.14,34.75
455.35,38.46
455.68,38.02
456.5,32.63
457.53,39.16
458.76,44.28
459.76,33.69
460.89,37.26
461.62,30.66
462.33,37.89
464.66,23.59
466.69,42.24
466.95,42.06
468.09,42.7
469.03,42.18
470.58,43.09
471.79,35.16
473.01,36.34
474.65,42.38
475.72,41.27
477.28,34.4
480.12,39.74
481.87,40.56
483.32,41.49
484.25,36.26
486.09,34.65
487.96,38.72
489.01,43.39
489.71,37.02
490.96,45.73
491.96,40.37
493.07,30.39
496.68,27.75
498.14,31.3
499.22,41.01
500.11,40.21
501.03,42.07
502.27,41.5
504.15,40.74
505.87,39.78
506.42,34.47
507.22,42.06
508.34,39.92
508.84,38.09
509.96,45.83
511.92,42.69
513.35,43.56
514.38,42.21
515.24,47.41
516.25,45.56
516.73,44.18
517.42,42.73
518.93,41.09
520.38,43.13
521.77,40.04
524.06,45.66
524.6,41.48
525.01,41.55
526.42,44.68
528.09,43.27
529.11,46.84
530.15,48.86
531.02,41.4
531.94,41.4
532.93,44.58
535.14,37.28
537.43,38.61
538.64,43.89
539.94,38.2
541.04,45.08
542.05,34.15
542.95,42.05
543.4,50.06
544.67,41.93
545.79,29.27
546.88,50.86
547.67,45.38
548.09,39.34
548.48,46.87
548.78,47.7
550.9,47.71
552.18,46.82
553.01,53.15
553.57,61.68
555.77,47.68
557.03,52.81
557.69,60.14
559.06,53.12
561.08,44.23
563.19,48.17
564.41,54.04
565.43,49.03
566.78,50.98
567.26,34.93
568.8,48.85
570.8,47.47
571.78,50.76
572.77,38.06
575.05,48.67
575.84,53.79
576.61,46.44
577.72,47.07
578.84,44.32
579.62,49.28
580.09,43.53
581.12,41.5
582.54,38.68
583.92,48.72
584.72,50.34
584.88,45.12
586.21,49.89
587.86,53.03
588.97,49.23
589.96,49.9
590.24,45.06
591.03,39.45
592.41,48.14
593.6,51.32
594.26,57.53
594.9,59.67
596.07,53.07
596.92,39.25
598.15,54.95
598.63,48.17
599.47,49.65
